Country,Continent,Emission_land,Emission_fossil,Year
Colombia,South America,14692622.39695813,559186.6129114862,2015
Vietnam,Asia,8035554.409799465,7161835.4297190625,2019
India,Asia,3269605.2003149893,5441583.916142937,2021
Colombia,South America,7151799.560143391,9740038.043069063,2022
Germany,Europe,16892982.72120552,381023.65101990657,2018
Russia,Europe,16922118.262942024,8139014.863708995,2017
New Zealand,Oceania,18317018.605040643,6251261.643429899,2017
Canada,North America,8251869.814193324,1437887.3238067045,2022
Argentina,South America,6752906.352741806,2184329.0089903744,2018
Brazil,South America,13116370.39247743,7933548.954590288,2017
USA,North America,4220037.050304392,5069383.128182826,2019
Italy,Europe,9358666.50729432,3510434.1594523187,2021
Canada,North America,14095160.4029817,1880354.4072312398,2015
Chile,South America,19465961.119810324,3616993.044332637,2015
China,Asia,2520675.478810277,4494749.258417515,2017
Chile,South America,8331498.371417712,9965854.825191405,2016
Spain,Europe,16821113.53637591,4080458.7345335353,2022
Colombia,South America,3818869.43060941,6658325.897029962,2018
Argentina,South America,9171949.469922319,2825044.6603644425,2020
South Africa,Africa,1340644.111340489,4008016.332719865,2017
Ethiopia,Africa,6407840.179161155,3543491.9786848826,2018
France,Europe,8746147.918015204,1085948.5358495829,2022
Germany,Europe,11351132.157066904,4861863.653148592,2022
Nigeria,Africa,8333119.61914502,8178759.636660946,2021
South Korea,Asia,17697249.099918805,7574159.657703094,2021
Spain,Europe,11455316.676404774,2913072.028853593,2020
New Zealand,Oceania,6883853.515256558,8892423.274360774,2020
France,Europe,11137503.939756595,3332366.835423121,2022
Egypt,Africa,8973258.835371364,4949123.689415637,2017
Australia,Oceania,15216224.045571921,8611176.90212704,2021
South Africa,Africa,15743166.682551926,7962696.659651662,2019
Spain,Europe,17981902.60028798,8917818.590613643,2022
Japan,Asia,12304049.101956088,7214877.660434648,2017
Mexico,North America,10855976.903090186,2042529.4126371704,2016
Colombia,South America,11201394.082386008,5485931.629981548,2016
New Zealand,Oceania,3976664.0440157484,1486933.05826355,2016
Russia,Europe,2962777.154776305,5629064.432730133,2020
Colombia,South America,15357850.107008722,9431660.796110673,2021
Indonesia,Asia,12507268.069065213,3990743.409080867,2015
Germany,Europe,10449165.568647219,9558163.854002051,2017
Germany,Europe,13072276.62259806,5975539.864232381,2015
Canada,North America,6220480.598249777,3970899.0429500747,2018
New Zealand,Oceania,13145500.019644443,8280645.381628532,2021
UK,Europe,13775006.914164858,5373263.230177973,2019
Colombia,South America,2469239.38077154,1431207.0665104422,2017
Nigeria,Africa,12126680.433956316,8670045.12324766,2022
Egypt,Africa,17767191.280341044,4842111.489800022,2016
India,Asia,12024576.455924012,6237432.600879677,2018
Ethiopia,Africa,11730166.629526494,4493596.99677605,2022
Mexico,North America,17439493.130967103,8586675.010378255,2022
Indonesia,Asia,18627255.74042039,2945851.480516925,2015
Australia,Oceania,18909042.253733434,3004422.1214731797,2018
China,Asia,17838965.181251973,3034385.7743260674,2017
UK,Europe,17121298.809323825,5229342.981814095,2019
Spain,Europe,1641576.9601480246,6398697.65590844,2019
Australia,Oceania,15448219.885443473,1045543.9832531664,2020
South Africa,Africa,5286487.8963432275,5080821.7657765,2022
UK,Europe,19172810.673067063,1398905.649851298,2019
South Korea,Asia,19444224.227306604,8651869.611349776,2021
Chile,South America,1730367.594852256,8815460.445198882,2015
Spain,Europe,17931811.33189801,2847363.9750059485,2019
Japan,Asia,14294405.836789114,3491428.7801905265,2022
Egypt,Africa,8722311.890156506,7179257.463914527,2022
Australia,Oceania,7480604.052165345,5470683.083950774,2016
Egypt,Africa,9674502.669298766,7527771.52727722,2018
Canada,North America,18647896.84104238,8200003.965390304,2017
Argentina,South America,1164541.6988244462,6030842.840164295,2017
Argentina,South America,17758534.92995889,7427986.421212439,2017
Brazil,South America,19619245.936586082,2937174.7952725715,2021
Spain,Europe,9512978.33048617,3933642.1636565556,2015
Indonesia,Asia,16279189.149446439,4802811.911346544,2019
Japan,Asia,2295566.211457161,5339972.453786487,2016
China,Asia,8244243.486102083,959786.2781809954,2018
France,Europe,13924986.983730668,3078236.975336606,2021
Vietnam,Asia,17246834.73986148,7650181.156187997,2022
USA,North America,16703334.87937051,6102530.186072397,2018
UK,Europe,3854983.978169869,9313128.899021814,2021
Canada,North America,8113535.659211643,7409918.208539218,2022
Chile,South America,19474460.00428351,5234295.836339837,2017
Egypt,Africa,4810616.7357716635,8423678.313198054,2015
Australia,Oceania,19838585.916677848,3007414.2102632085,2018
South Korea,Asia,10899470.22550703,9382353.337844357,2022
Japan,Asia,10506524.872630833,7488186.476056919,2019
Spain,Europe,4442745.405682156,1877320.1601704673,2016
New Zealand,Oceania,7751494.92803593,9410254.541131038,2016
Canada,North America,5077931.682723472,9920004.61446032,2019
Mexico,North America,14471408.01389685,353370.006349031,2020
India,Asia,6626723.782854713,8770398.37631778,2016
South Africa,Africa,2178716.9926831443,6245123.912602074,2020
Canada,North America,11065788.487395056,6762593.699357864,2015
Ethiopia,Africa,19006413.592053782,3524412.1256825016,2016
Mexico,North America,6386336.636884872,2403425.435294134,2016
Argentina,South America,3098390.7013058425,4301635.871884797,2021
Chile,South America,13243834.313995833,8828550.690927425,2016
Nigeria,Africa,13192117.065784855,5258662.0464780945,2017
Japan,Asia,11985771.466678558,9042348.504255706,2019
Italy,Europe,6062873.584062882,5710434.3537297,2022
Egypt,Africa,6611957.722284238,4860267.7583934,2022
Brazil,South America,19260266.824827023,5044615.32246077,2018
Russia,Europe,5011598.854976539,9699461.225537036,2019